aspiration,body-style,bore,city-mpg,compression-ratio,curb-weight,drive-wheels,engine-location,engine-size,engine-type,fuel-system,fuel-type,height,highway-mpg,horsepower,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,price,stroke,symboling,wheel-base,width
std,convertible,3.47,21,9.0,2548,rwd,front,130,dohc,mpfi,gas,48.8,27,111.0,168.8,alfa-romero,,four,two,5000.0,13495.0,2.68,3,88.6,64.1
std,convertible,3.47,21,9.0,2548,rwd,front,130,dohc,mpfi,gas,48.8,27,111.0,168.8,alfa-romero,,four,two,5000.0,16500.0,2.68,3,88.6,64.1
std,hatchback,2.68,19,9.0,2823,rwd,front,152,ohcv,mpfi,gas,52.4,26,154.0,171.2,alfa-romero,,six,two,5000.0,16500.0,3.47,1,94.5,65.5
std,sedan,3.19,24,10.0,2337,fwd,front,109,ohc,mpfi,gas,54.3,30,102.0,176.6,audi,164.0,four,four,5500.0,13950.0,3.4,2,99.8,66.2
std,sedan,3.19,18,8.0,2824,4wd,front,136,ohc,mpfi,gas,54.3,22,115.0,176.6,audi,164.0,five,four,5500.0,17450.0,3.4,2,99.4,66.4
std,sedan,3.19,19,8.5,2507,fwd,front,136,ohc,mpfi,gas,53.1,25,110.0,177.3,audi,,five,two,5500.0,15250.0,3.4,2,99.8,66.3
std,sedan,3.19,19,8.5,2844,fwd,front,136,ohc,mpfi,gas,55.7,25,110.0,192.7,audi,158.0,five,four,5500.0,17710.0,3.4,1,105.8,71.4
std,wagon,3.19,19,8.5,2954,fwd,front,136,ohc,mpfi,gas,55.7,25,110.0,192.7,audi,,five,four,5500.0,18920.0,3.4,1,105.8,71.4
turbo,sedan,3.13,17,8.3,3086,fwd,front,131,ohc,mpfi,gas,55.9,20,140.0,192.7,audi,158.0,five,four,5500.0,23875.0,3.4,1,105.8,71.4
turbo,hatchback,3.13,16,7.0,3053,4wd,front,131,ohc,mpfi,gas,52.0,22,160.0,178.2,audi,,five,two,5500.0,,3.4,0,99.5,67.9
std,sedan,3.5,23,8.8,2395,rwd,front,108,ohc,mpfi,gas,54.3,29,101.0,176.8,bmw,192.0,four,two,5800.0,16430.0,2.8,2,101.2,64.8
std,sedan,3.5,23,8.8,2395,rwd,front,108,ohc,mpfi,gas,54.3,29,101.0,176.8,bmw,192.0,four,four,5800.0,16925.0,2.8,0,101.2,64.8
std,sedan,3.31,21,9.0,2710,rwd,front,164,ohc,mpfi,gas,54.3,28,121.0,176.8,bmw,188.0,six,two,4250.0,20970.0,3.19,0,101.2,64.8
std,sedan,3.31,21,9.0,2765,rwd,front,164,ohc,mpfi,gas,54.3,28,121.0,176.8,bmw,188.0,six,four,4250.0,21105.0,3.19,0,101.2,64.8
std,sedan,3.31,20,9.0,3055,rwd,front,164,ohc,mpfi,gas,55.7,25,121.0,189.0,bmw,,six,four,4250.0,24565.0,3.19,1,103.5,66.9
std,sedan,3.62,16,8.0,3230,rwd,front,209,ohc,mpfi,gas,55.7,22,182.0,189.0,bmw,,six,four,5400.0,30760.0,3.39,0,103.5,66.9
std,sedan,3.62,16,8.0,3380,rwd,front,209,ohc,mpfi,gas,53.7,22,182.0,193.8,bmw,,six,two,5400.0,41315.0,3.39,0,103.5,67.9
std,sedan,3.62,15,8.0,3505,rwd,front,209,ohc,mpfi,gas,56.3,20,182.0,197.0,bmw,,six,four,5400.0,36880.0,3.39,0,110.0,70.9
std,hatchback,2.91,47,9.5,1488,fwd,front,61,l,2bbl,gas,53.2,53,48.0,141.1,chevrolet,121.0,three,two,5100.0,5151.0,3.03,2,88.4,60.3
std,hatchback,3.03,38,9.6,1874,fwd,front,90,ohc,2bbl,gas,52.0,43,70.0,155.9,chevrolet,98.0,four,two,5400.0,6295.0,3.11,1,94.5,63.6
std,sedan,3.03,38,9.6,1909,fwd,front,90,ohc,2bbl,gas,52.0,43,70.0,158.8,chevrolet,81.0,four,four,5400.0,6575.0,3.11,0,94.5,63.6
std,hatchback,2.9699999999999998,37,9.41,1876,fwd,front,90,ohc,2bbl,gas,50.8,41,68.0,157.3,dodge,118.0,four,two,5500.0,5572.0,3.23,1,93.7,63.8
std,hatchback,2.9699999999999998,31,9.4,1876,fwd,front,90,ohc,2bbl,gas,50.8,38,68.0,157.3,dodge,118.0,four,two,5500.0,6377.0,3.23,1,93.7,63.8
turbo,hatchback,3.03,24,7.6,2128,fwd,front,98,ohc,mpfi,gas,50.8,30,102.0,157.3,dodge,118.0,four,two,5500.0,7957.0,3.39,1,93.7,63.8
std,hatchback,2.9699999999999998,31,9.4,1967,fwd,front,90,ohc,2bbl,gas,50.6,38,68.0,157.3,dodge,148.0,four,four,5500.0,6229.0,3.23,1,93.7,63.8
std,sedan,2.9699999999999998,31,9.4,1989,fwd,front,90,ohc,2bbl,gas,50.6,38,68.0,157.3,dodge,148.0,four,four,5500.0,6692.0,3.23,1,93.7,63.8
std,sedan,2.9699999999999998,31,9.4,1989,fwd,front,90,ohc,2bbl,gas,50.6,38,68.0,157.3,dodge,148.0,four,four,5500.0,7609.0,3.23,1,93.7,63.8
